,Title,Year,Runtime,Genre,Director,Writer,Actor,MPAARating,Description,numUserRatings,numCriticRatings,numIMDBRatings,IMDBRating
23,It's a Wonderful Life,1946,130 min,Drama,Frank Capra,Frances Goodrich (screenplay),James Stewart,"Rated PG for thematic elements, smoking and some violence",An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.,704,206,"274,144",8.6
24,The Usual Suspects,1995,106 min,Crime,Bryan Singer,Christopher McQuarrie,Kevin Spacey,Rated R for violence and a substantial amount of strong language,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.","1,179",162,"736,546",8.6
25,Life Is Beautiful,1997,116 min,Comedy,Roberto Benigni,Vincenzo Cerami (story and screenplay by),Roberto Benigni,Rated PG-13 for holocaust-related thematic elements,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","1,050",154,"417,051",8.6
26,Léon: The Professional,1994,110 min,Crime,Luc Besson,Luc Besson,Jean Reno,"Rated R for scenes of strong graphic violence, and for language","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.",838,155,"721,090",8.6
27,Once Upon a Time in the West,1968,165 min,Western,Sergio Leone,Sergio Donati (screenplay),Henry Fonda,Rated PG-13 for western violence and brief sensuality,Epic story of a mysterious stranger with a harmonica who joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,564,164,"214,749",8.6
28,Spirited Away,2001,125 min,Animation,Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase,Rated PG for some scary moments,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",901,245,"414,759",8.6
29,Saving Private Ryan,1998,169 min,Action,Steven Spielberg,Robert Rodat,Tom Hanks,"Rated R for intense prolonged realistically graphic sequences of war violence, and for language","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","2,277",219,"875,516",8.6
30,American History X,1998,119 min,Crime,Tony Kaye,David McKenna,Edward Norton,"Rated R for graphic brutal violence including rape, pervasive language, strong sexuality and nudity",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"1,417",162,"778,186",8.6
31,Interstellar,2014,169 min,Adventure,Christopher Nolan,Jonathan Nolan,Matthew McConaughey,Rated PG-13 for some intense perilous action and brief strong language.,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"2,719",712,"918,472",8.6
32,Casablanca,1942,102 min,Drama,Michael Curtiz,Julius J. Epstein (screenplay),Humphrey Bogart,Rated PG for mild violence,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.","1,121",242,"385,602",8.6
